ID	Prompts	Attributes	States	Entity Relationships	Visual Effects
1	Man rides on the back of a wooden cart being pulled by two cows.	1	1	1	0
2	A zoo keeper looking at the back of a caged elephant.	0	1	1	0
3	A cat sitting amongst books and clothing in a suitcase.	0	1	1	0
4	A large cat sits on the sofa arm next to a girl using a computer.	1	1	1	0
5	Three people skateboarding with cement and a large crowd.	1	1	1	0
6	Four men standing against a brick wall with one of them eating from a food container, one with several carrots stuffed into his mouth, and the other two standing next to them.	1	1	1	1
7	A big bunch of skiers in a very big snowy field.	1	0	1	1
8	Two small horses standing in a field covered with grass.	1	1	1	1
9	Two young woman in a park doing tricks with a frisbee.	1	1	1	1
10	The young man is sitting in his car with his pet dog and studying from a textbook.	1	1	1	1
11	Four stuffed teddy bears dressed in pink and posed together.	1	1	0	0
12	Apples inside a blue container and a cardboard box of bananas.	1	0	1	0
13	A lighthouse stands on an island in the background as a surfer on an orange board rides the surf while holding a black pole.	1	1	1	1
14	Two people stand outside of a very old building.	1	1	1	1
15	a closeup of a computer keyboard and mouse with workers in the background.	0	0	1	1
16	A close up of several people with one holding an umbrella.	0	1	1	1
17	Two horses standing in an open field on a sunny day.	1	1	1	1
18	A young boy is making a silly face while staring at a whole pizza.	1	1	0	0
19	The tennis player is confident about the difficult shot.	0	1	0	0
20	a cobblestone street has busy sidewalks full of people with umbrellas	1	0	1	1
21	a man wearing a lei seated in a room full of people	1	1	1	0
22	an older man is inspecting some bananas at an outdoor market.	1	1	0	1
23	a woman is sitting at a table with a person pouring a bottle of wine into a wine glass.	0	1	1	0
24	a man and woman sitting by a wooden table with champagne and cake.	1	1	1	0
25	three people seated at a round wooden table with food.	1	1	1	0
26	a man drinking from a glass while sitting in front of a table full of food	1	1	1	0
27	a man standing in front of a mirror adjusting his tie	0	1	1	0
28	two men stand in a kitchen with wooden cabinets.	1	1	1	1
29	A uniformed boy is holding a basketball with his back to the hoop.	1	1	1	0
30	A beach patrol jeep drives along the sand as people wade and fly kites down the beach.	1	1	1	1
31	Small girl holding a recorder near a table with an unfinished drawing.	1	1	1	0
32	A cat standing on a table in front of a TV.	0	1	1	0
33	A cat sitting on a blanket next to a laptop.	1	1	1	0
34	A little boy stands by a stack of suitcases.	1	1	1	0
35	Two giraffes stand behind a fence in a zoo enclosure.	0	1	1	0
36	Two images: A woman and a cat at a window and a highway with a construction sign.	0	0	0	1
37	These three birds are walking along the beach looking for food.	0	1	1	1
38	A large elephant walking behind a car on a dirt road.	1	1	1	1
39	A young girl sitting on the sidewalk using her phone.	1	1	1	1
40	A young man holding a tennis racquet on a court.	1	1	1	1
